2026-07-07 14:48:25.547 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (0e3bc6b4febbd055b552c728d4e2c72a)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 6218 ms
2026-07-07 14:48:30.847 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (0e3bc6b4febbd055b552c728d4e2c72a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 225 ms
2026-07-07 14:48:41.470 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (0e3bc6b4febbd055b552c728d4e2c72a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 59 ms
2026-07-07 14:48:51.762 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (0e3bc6b4febbd055b552c728d4e2c72a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 75 ms
2026-07-07 14:59:25.616 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (40a4192fadfb18aed70216b2e2f8783a)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 6221 ms
2026-07-07 14:59:30.747 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (40a4192fadfb18aed70216b2e2f8783a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 123 ms
2026-07-07 14:59:41.347 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (40a4192fadfb18aed70216b2e2f8783a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 69 ms
2026-07-07 14:59:51.593 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (40a4192fadfb18aed70216b2e2f8783a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 61 ms
2026-07-07 15:00:06.879 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[1]/span[2]' | CLICK_ACTION | 141 ms
2026-07-07 15:01:13.581 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (2c718add6e222d933b3b8eedf00e606e)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 5838 ms
2026-07-07 15:01:18.877 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (2c718add6e222d933b3b8eedf00e606e)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 135 ms
2026-07-07 15:01:29.458 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (2c718add6e222d933b3b8eedf00e606e)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 56 ms
2026-07-07 15:01:39.617 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (2c718add6e222d933b3b8eedf00e606e)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 54 ms
2026-07-07 15:01:54.980 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[1]/span[2]' | CLICK_ACTION | 213 ms
2026-07-07 15:02:55.585 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (62395c53e4aea4a00679dd5b2ab1f1c2)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 6747 ms
2026-07-07 15:03:00.797 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (62395c53e4aea4a00679dd5b2ab1f1c2)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 164 ms
2026-07-07 15:03:11.410 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (62395c53e4aea4a00679dd5b2ab1f1c2)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 63 ms
2026-07-07 15:03:21.614 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (62395c53e4aea4a00679dd5b2ab1f1c2)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 54 ms
2026-07-07 15:03:36.900 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[1]/span[2]' | CLICK_ACTION | 141 ms
2026-07-07 15:03:42.817 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (62395c53e4aea4a00679dd5b2ab1f1c2)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[2]/div/div/div/button[2]] | CLICK_ACTION | 788 ms
2026-07-07 15:05:00.990 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ebea20c6d8795ddda47abd1c4280735)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 6082 ms
2026-07-07 15:05:06.185 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ebea20c6d8795ddda47abd1c4280735)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 145 ms
2026-07-07 15:05:16.718 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ebea20c6d8795ddda47abd1c4280735)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 62 ms
